"SiteID_WQX","SiteName_WQX","Parameter","SiteID"
"ARDEQH2O_WQX-WHI0106","White River at Durham, Arkansas","Escherichia coli","WHI0106"
"ARDEQH2O_WQX-ARK0042","Mulberry River at Interstate 40","Escherichia coli","ARK0042"
"ARDEQH2O_WQX-ARK0031","Arkansas River at Lock and Dam No. 9 near Oppelo, Arkansas","Escherichia coli","ARK0031"
"ARDEQH2O_WQX-BUFR05","Buffalo River at Woolum","Escherichia coli","BUFR05"
"ARDEQH2O_WQX-ARK0033","Arkansas River at Ozark Lock and Dam","Escherichia coli","ARK0033"
"ARDEQH2O_WQX-WHI0123","Kings River near Alabam, Arkansas","Escherichia coli","WHI0123"
"ARDEQH2O_WQX-WHI0116","War Eagle Creek at Hwy. 45","Escherichia coli","WHI0116"
"ARDEQH2O_WQX-WHI0048A","Crooked Creek at Yellville (replaced 8/8/06 by WHI0193)","Escherichia coli","WHI0048A"
"ARDEQH2O_WQX-WHI0052","White River near Goshen, Arkansas","Escherichia coli","WHI0052"
"ARDEQH2O_WQX-WHI0071","Long Creek below Denver, Arkansas","Escherichia coli","WHI0071"
"ARDEQH2O_WQX-BUFT09","Richland Creek - tributary of Buffalo River","Escherichia coli","BUFT09"
"ARDEQH2O_WQX-BUFR07","Buffalo River at Highway 14","Escherichia coli","BUFR07"
"ARDEQH2O_WQX-BUFT05","Little Buffalo River - tributary of Buffalo River","Escherichia coli","BUFT05"
"ARDEQH2O_WQX-ARK0043","Big Piney Creek at Hwy. 164","Escherichia coli","ARK0043"
"ARDEQH2O_WQX-WHI0051","West Fork White River east of Fayetteville, Arkansas","Escherichia coli","WHI0051"
"ARDEQH2O_WQX-WHI0069","Osage Creek below Berryville, Arkansas","Escherichia coli","WHI0069"
"ARDEQH2O_WQX-ARK0044","Illinois Bayou northwest of Dover, Arkansas on SR7","Escherichia coli","ARK0044"
"ARDEQH2O_WQX-ARK0038","Arkansas River at Van Buren","Escherichia coli","ARK0038"
"ARDEQH2O_WQX-WHI0171","Myatt Creek near Cherokee Village","Escherichia coli","WHI0171"
"ARDEQH2O_WQX-BUFR02","Buffalo River at Ponca","Escherichia coli","BUFR02"
"ARDEQH2O_WQX-WHI0048C","Crooked Creek at Hwy. 101 2 miles north of Rea Valley, AR","Escherichia coli","WHI0048C"
"ARDEQH2O_WQX-ARK0030","Arkansas River at Lock and Dam No. 8","Escherichia coli","ARK0030"
"ARDEQH2O_WQX-UWFRE01","Freeo Creek at Hwy. 9, 5 miles west of Bearden, Arkansas","Escherichia coli","UWFRE01"
"ARDEQH2O_WQX-BUFR04","Buffalo River at Hasty","Escherichia coli","BUFR04"
"ARDEQH2O_WQX-WHI0068","Osage Creek above Berryville, Arkansas","Escherichia coli","WHI0068"
"ARDEQH2O_WQX-WHI0103","Middle Fork White River southwest of Elkins, Arkansas","Escherichia coli","WHI0103"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Calcium","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Magnesium","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Potassium","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Sodium","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Bromide","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Chloride","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Fluoride","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Sulfate","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Aluminum","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Barium","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Beryllium","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Cadmium","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Chromium","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Cobalt","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Copper","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Iron","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Lead","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Manganese","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Nickel","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Vanadium","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Zinc","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Arsenic","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Boron","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Selenium","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Ammonia-nitrogen","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Kjeldahl nitrogen","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Orthophosphate","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Phosphate-phosphorus","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Organic carbon","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Alkalinity, total","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Biochemical oxygen demand, standard conditions","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Dissolved oxygen (DO)","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Hardness, Ca, Mg","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","pH","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Temperature, air","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Temperature, water","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Total dissolved solids","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Total suspended solids","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Turbidity","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","2,4,5-T","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","2,4-DB","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Silicon","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Silver","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Thallium","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Antimony","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","2,4-D","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Acifluorfen","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Bentazon","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Dicamba","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Dichlorprop","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Dinoseb","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Pentachlorophenol","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Picloram","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Silvex","ARK0007A"
"ARDEQH2O_WQX-ARK0008","Lee Creek at Hwy. 59 near Natural Dam, Arkansas","Calcium","ARK0008"
"ARDEQH2O_WQX-ARK0008","Lee Creek at Hwy. 59 near Natural Dam, Arkansas","Magnesium","ARK0008"
"ARDEQH2O_WQX-ARK0008","Lee Creek at Hwy. 59 near Natural Dam, Arkansas","Potassium","ARK0008"
"ARDEQH2O_WQX-ARK0008","Lee Creek at Hwy. 59 near Natural Dam, Arkansas","Sodium","ARK0008"
"ARDEQH2O_WQX-ARK0008","Lee Creek at Hwy. 59 near Natural Dam, Arkansas","Bromide","ARK0008"
"ARDEQH2O_WQX-ARK0008","Lee Creek at Hwy. 59 near Natural Dam, Arkansas","Chloride","ARK0008"
"ARDEQH2O_WQX-ARK0008","Lee Creek at Hwy. 59 near Natural Dam, Arkansas","Fluoride","ARK0008"
"ARDEQH2O_WQX-ARK0008","Lee Creek at Hwy. 59 near Natural Dam, Arkansas","Sulfate","ARK0008"
"ARDEQH2O_WQX-ARK0008","Lee Creek at Hwy. 59 near Natural Dam, Arkansas","Aluminum","ARK0008"
"ARDEQH2O_WQX-ARK0008","Lee Creek at Hwy. 59 near Natural Dam, Arkansas","Barium","ARK0008"
"ARDEQH2O_WQX-ARK0008","Lee Creek at Hwy. 59 near Natural Dam, Arkansas","Beryllium","ARK0008"
"ARDEQH2O_WQX-ARK0008","Lee Creek at Hwy. 59 near Natural Dam, Arkansas","Cadmium","ARK0008"
"ARDEQH2O_WQX-ARK0008","Lee Creek at Hwy. 59 near Natural Dam, Arkansas","Chromium","ARK0008"
"ARDEQH2O_WQX-ARK0008","Lee Creek at Hwy. 59 near Natural Dam, Arkansas","Cobalt","ARK0008"
"ARDEQH2O_WQX-ARK0008","Lee Creek at Hwy. 59 near Natural Dam, Arkansas","Copper","ARK0008"
"ARDEQH2O_WQX-ARK0008","Lee Creek at Hwy. 59 near Natural Dam, Arkansas","Iron","ARK0008"
"ARDEQH2O_WQX-ARK0008","Lee Creek at Hwy. 59 near Natural Dam, Arkansas","Lead","ARK0008"
"ARDEQH2O_WQX-ARK0008","Lee Creek at Hwy. 59 near Natural Dam, Arkansas","Manganese","ARK0008"
"ARDEQH2O_WQX-ARK0008","Lee Creek at Hwy. 59 near Natural Dam, Arkansas","Nickel","ARK0008"
"ARDEQH2O_WQX-ARK0008","Lee Creek at Hwy. 59 near Natural Dam, Arkansas","Vanadium","ARK0008"
"ARDEQH2O_WQX-ARK0008","Lee Creek at Hwy. 59 near Natural Dam, Arkansas","Zinc","ARK0008"
"ARDEQH2O_WQX-ARK0008","Lee Creek at Hwy. 59 near Natural Dam, Arkansas","Arsenic","ARK0008"
"ARDEQH2O_WQX-ARK0008","Lee Creek at Hwy. 59 near Natural Dam, Arkansas","Boron","ARK0008"
"ARDEQH2O_WQX-ARK0008","Lee Creek at Hwy. 59 near Natural Dam, Arkansas","Selenium","ARK0008"
"ARDEQH2O_WQX-ARK0008","Lee Creek at Hwy. 59 near Natural Dam, Arkansas","Escherichia coli","ARK0008"
"ARDEQH2O_WQX-ARK0008","Lee Creek at Hwy. 59 near Natural Dam, Arkansas","Fecal Coliform","ARK0008"
"ARDEQH2O_WQX-ARK0008","Lee Creek at Hwy. 59 near Natural Dam, Arkansas","Ammonia-nitrogen","ARK0008"
"ARDEQH2O_WQX-ARK0008","Lee Creek at Hwy. 59 near Natural Dam, Arkansas","Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite","ARK0008"
"ARDEQH2O_WQX-ARK0008","Lee Creek at Hwy. 59 near Natural Dam, Arkansas","Kjeldahl nitrogen","ARK0008"
"ARDEQH2O_WQX-ARK0008","Lee Creek at Hwy. 59 near Natural Dam, Arkansas","Orthophosphate","ARK0008"
"ARDEQH2O_WQX-ARK0008","Lee Creek at Hwy. 59 near Natural Dam, Arkansas","Phosphate-phosphorus","ARK0008"
"ARDEQH2O_WQX-ARK0008","Lee Creek at Hwy. 59 near Natural Dam, Arkansas","Organic carbon","ARK0008"
"ARDEQH2O_WQX-ARK0008","Lee Creek at Hwy. 59 near Natural Dam, Arkansas","Alkalinity, total","ARK0008"
"ARDEQH2O_WQX-ARK0008","Lee Creek at Hwy. 59 near Natural Dam, Arkansas","Biochemical oxygen demand, standard conditions","ARK0008"
"ARDEQH2O_WQX-ARK0008","Lee Creek at Hwy. 59 near Natural Dam, Arkansas","Dissolved oxygen (DO)","ARK0008"
"ARDEQH2O_WQX-ARK0008","Lee Creek at Hwy. 59 near Natural Dam, Arkansas","Hardness, Ca, Mg","ARK0008"
"ARDEQH2O_WQX-ARK0008","Lee Creek at Hwy. 59 near Natural Dam, Arkansas","pH","ARK0008"
"ARDEQH2O_WQX-ARK0008","Lee Creek at Hwy. 59 near Natural Dam, Arkansas","Temperature, water","ARK0008"
"ARDEQH2O_WQX-ARK0008","Lee Creek at Hwy. 59 near Natural Dam, Arkansas","Total dissolved solids","ARK0008"
"ARDEQH2O_WQX-ARK0008","Lee Creek at Hwy. 59 near Natural Dam, Arkansas","Total suspended solids","ARK0008"
"ARDEQH2O_WQX-ARK0008","Lee Creek at Hwy. 59 near Natural Dam, Arkansas","Turbidity","ARK0008"
"ARDEQH2O_WQX-ARK0008","Lee Creek at Hwy. 59 near Natural Dam, Arkansas","Silicon","ARK0008"
"ARDEQH2O_WQX-ARK0008","Lee Creek at Hwy. 59 near Natural Dam, Arkansas","Silver","ARK0008"
"ARDEQH2O_WQX-ARK0008","Lee Creek at Hwy. 59 near Natural Dam, Arkansas","Thallium","ARK0008"
"ARDEQH2O_WQX-ARK0008","Lee Creek at Hwy. 59 near Natural Dam, Arkansas","Antimony","ARK0008"
"ARDEQH2O_WQX-ARK0008","Lee Creek at Hwy. 59 near Natural Dam, Arkansas","Temperature, air","ARK0008"
"ARDEQH2O_WQX-ARK0003","Spavinaw Creek north of Cherokee, Arkansas","Calcium","ARK0003"
"ARDEQH2O_WQX-ARK0003","Spavinaw Creek north of Cherokee, Arkansas","Magnesium","ARK0003"
"ARDEQH2O_WQX-ARK0003","Spavinaw Creek north of Cherokee, Arkansas","Potassium","ARK0003"
"ARDEQH2O_WQX-ARK0003","Spavinaw Creek north of Cherokee, Arkansas","Sodium","ARK0003"
"ARDEQH2O_WQX-ARK0003","Spavinaw Creek north of Cherokee, Arkansas","Bromide","ARK0003"
"ARDEQH2O_WQX-ARK0003","Spavinaw Creek north of Cherokee, Arkansas","Chloride","ARK0003"
"ARDEQH2O_WQX-ARK0003","Spavinaw Creek north of Cherokee, Arkansas","Fluoride","ARK0003"
"ARDEQH2O_WQX-ARK0003","Spavinaw Creek north of Cherokee, Arkansas","Sulfate","ARK0003"
"ARDEQH2O_WQX-ARK0003","Spavinaw Creek north of Cherokee, Arkansas","Aluminum","ARK0003"
"ARDEQH2O_WQX-ARK0003","Spavinaw Creek north of Cherokee, Arkansas","Barium","ARK0003"
"ARDEQH2O_WQX-ARK0003","Spavinaw Creek north of Cherokee, Arkansas","Beryllium","ARK0003"
"ARDEQH2O_WQX-ARK0003","Spavinaw Creek north of Cherokee, Arkansas","Cadmium","ARK0003"
"ARDEQH2O_WQX-ARK0003","Spavinaw Creek north of Cherokee, Arkansas","Chromium","ARK0003"
"ARDEQH2O_WQX-ARK0003","Spavinaw Creek north of Cherokee, Arkansas","Cobalt","ARK0003"
"ARDEQH2O_WQX-ARK0003","Spavinaw Creek north of Cherokee, Arkansas","Copper","ARK0003"
"ARDEQH2O_WQX-ARK0003","Spavinaw Creek north of Cherokee, Arkansas","Iron","ARK0003"
"ARDEQH2O_WQX-ARK0003","Spavinaw Creek north of Cherokee, Arkansas","Lead","ARK0003"
"ARDEQH2O_WQX-ARK0003","Spavinaw Creek north of Cherokee, Arkansas","Manganese","ARK0003"
"ARDEQH2O_WQX-ARK0003","Spavinaw Creek north of Cherokee, Arkansas","Nickel","ARK0003"
"ARDEQH2O_WQX-ARK0003","Spavinaw Creek north of Cherokee, Arkansas","Vanadium","ARK0003"
"ARDEQH2O_WQX-ARK0003","Spavinaw Creek north of Cherokee, Arkansas","Zinc","ARK0003"
"ARDEQH2O_WQX-ARK0003","Spavinaw Creek north of Cherokee, Arkansas","Arsenic","ARK0003"
"ARDEQH2O_WQX-ARK0003","Spavinaw Creek north of Cherokee, Arkansas","Boron","ARK0003"
"ARDEQH2O_WQX-ARK0003","Spavinaw Creek north of Cherokee, Arkansas","Selenium","ARK0003"
"ARDEQH2O_WQX-ARK0003","Spavinaw Creek north of Cherokee, Arkansas","Ammonia-nitrogen","ARK0003"
"ARDEQH2O_WQX-ARK0003","Spavinaw Creek north of Cherokee, Arkansas","Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite","ARK0003"
"ARDEQH2O_WQX-ARK0003","Spavinaw Creek north of Cherokee, Arkansas","Kjeldahl nitrogen","ARK0003"
"ARDEQH2O_WQX-ARK0003","Spavinaw Creek north of Cherokee, Arkansas","Orthophosphate","ARK0003"
"ARDEQH2O_WQX-ARK0003","Spavinaw Creek north of Cherokee, Arkansas","Phosphate-phosphorus","ARK0003"
"ARDEQH2O_WQX-ARK0003","Spavinaw Creek north of Cherokee, Arkansas","Organic carbon","ARK0003"
"ARDEQH2O_WQX-ARK0003","Spavinaw Creek north of Cherokee, Arkansas","Alkalinity, total","ARK0003"
"ARDEQH2O_WQX-ARK0003","Spavinaw Creek north of Cherokee, Arkansas","Biochemical oxygen demand, standard conditions","ARK0003"
"ARDEQH2O_WQX-ARK0003","Spavinaw Creek north of Cherokee, Arkansas","Dissolved oxygen (DO)","ARK0003"
"ARDEQH2O_WQX-ARK0003","Spavinaw Creek north of Cherokee, Arkansas","Hardness, Ca, Mg","ARK0003"
"ARDEQH2O_WQX-ARK0003","Spavinaw Creek north of Cherokee, Arkansas","pH","ARK0003"
"ARDEQH2O_WQX-ARK0003","Spavinaw Creek north of Cherokee, Arkansas","Temperature, air","ARK0003"
"ARDEQH2O_WQX-ARK0003","Spavinaw Creek north of Cherokee, Arkansas","Temperature, water","ARK0003"
"ARDEQH2O_WQX-ARK0003","Spavinaw Creek north of Cherokee, Arkansas","Total dissolved solids","ARK0003"
"ARDEQH2O_WQX-ARK0003","Spavinaw Creek north of Cherokee, Arkansas","Total suspended solids","ARK0003"
"ARDEQH2O_WQX-ARK0003","Spavinaw Creek north of Cherokee, Arkansas","Turbidity","ARK0003"
"ARDEQH2O_WQX-ARK0003","Spavinaw Creek north of Cherokee, Arkansas","2,4,5-T","ARK0003"
"ARDEQH2O_WQX-ARK0003","Spavinaw Creek north of Cherokee, Arkansas","2,4-DB","ARK0003"
"ARDEQH2O_WQX-ARK0003","Spavinaw Creek north of Cherokee, Arkansas","Silicon","ARK0003"
"ARDEQH2O_WQX-ARK0003","Spavinaw Creek north of Cherokee, Arkansas","Silver","ARK0003"
"ARDEQH2O_WQX-ARK0003","Spavinaw Creek north of Cherokee, Arkansas","Thallium","ARK0003"
"ARDEQH2O_WQX-ARK0003","Spavinaw Creek north of Cherokee, Arkansas","Antimony","ARK0003"
"ARDEQH2O_WQX-ARK0003","Spavinaw Creek north of Cherokee, Arkansas","2,4-D","ARK0003"
"ARDEQH2O_WQX-ARK0003","Spavinaw Creek north of Cherokee, Arkansas","Acifluorfen","ARK0003"
"ARDEQH2O_WQX-ARK0003","Spavinaw Creek north of Cherokee, Arkansas","Bentazon","ARK0003"
"ARDEQH2O_WQX-ARK0003","Spavinaw Creek north of Cherokee, Arkansas","Dicamba","ARK0003"
"ARDEQH2O_WQX-ARK0003","Spavinaw Creek north of Cherokee, Arkansas","Dichlorprop","ARK0003"
"ARDEQH2O_WQX-ARK0003","Spavinaw Creek north of Cherokee, Arkansas","Dinoseb","ARK0003"
"ARDEQH2O_WQX-ARK0003","Spavinaw Creek north of Cherokee, Arkansas","Pentachlorophenol","ARK0003"
"ARDEQH2O_WQX-ARK0003","Spavinaw Creek north of Cherokee, Arkansas","Picloram","ARK0003"
"ARDEQH2O_WQX-ARK0003","Spavinaw Creek north of Cherokee, Arkansas","Silvex","ARK0003"
"ARDEQH2O_WQX-ARK0007","Barren Fork on SR59 N of Dutch Mills","Calcium","ARK0007"
"ARDEQH2O_WQX-ARK0007","Barren Fork on SR59 N of Dutch Mills","Magnesium","ARK0007"
"ARDEQH2O_WQX-ARK0007","Barren Fork on SR59 N of Dutch Mills","Potassium","ARK0007"
"ARDEQH2O_WQX-ARK0007","Barren Fork on SR59 N of Dutch Mills","Sodium","ARK0007"
"ARDEQH2O_WQX-ARK0007","Barren Fork on SR59 N of Dutch Mills","Bromide","ARK0007"
"ARDEQH2O_WQX-ARK0007","Barren Fork on SR59 N of Dutch Mills","Chloride","ARK0007"
"ARDEQH2O_WQX-ARK0007","Barren Fork on SR59 N of Dutch Mills","Fluoride","ARK0007"
"ARDEQH2O_WQX-ARK0007","Barren Fork on SR59 N of Dutch Mills","Sulfate","ARK0007"
"ARDEQH2O_WQX-ARK0007","Barren Fork on SR59 N of Dutch Mills","Aluminum","ARK0007"
"ARDEQH2O_WQX-ARK0007","Barren Fork on SR59 N of Dutch Mills","Barium","ARK0007"
"ARDEQH2O_WQX-ARK0007","Barren Fork on SR59 N of Dutch Mills","Beryllium","ARK0007"
"ARDEQH2O_WQX-ARK0007","Barren Fork on SR59 N of Dutch Mills","Cadmium","ARK0007"
"ARDEQH2O_WQX-ARK0007","Barren Fork on SR59 N of Dutch Mills","Chromium","ARK0007"
"ARDEQH2O_WQX-ARK0007","Barren Fork on SR59 N of Dutch Mills","Cobalt","ARK0007"
"ARDEQH2O_WQX-ARK0007","Barren Fork on SR59 N of Dutch Mills","Iron","ARK0007"
"ARDEQH2O_WQX-ARK0007","Barren Fork on SR59 N of Dutch Mills","Lead","ARK0007"
"ARDEQH2O_WQX-ARK0007","Barren Fork on SR59 N of Dutch Mills","Manganese","ARK0007"
"ARDEQH2O_WQX-ARK0007","Barren Fork on SR59 N of Dutch Mills","Nickel","ARK0007"
"ARDEQH2O_WQX-ARK0007","Barren Fork on SR59 N of Dutch Mills","Vanadium","ARK0007"
"ARDEQH2O_WQX-ARK0007","Barren Fork on SR59 N of Dutch Mills","Zinc","ARK0007"
"ARDEQH2O_WQX-ARK0007","Barren Fork on SR59 N of Dutch Mills","Arsenic","ARK0007"
"ARDEQH2O_WQX-ARK0007","Barren Fork on SR59 N of Dutch Mills","Boron","ARK0007"
"ARDEQH2O_WQX-ARK0007","Barren Fork on SR59 N of Dutch Mills","Selenium","ARK0007"
"ARDEQH2O_WQX-ARK0007","Barren Fork on SR59 N of Dutch Mills","Ammonia-nitrogen","ARK0007"
"ARDEQH2O_WQX-ARK0007","Barren Fork on SR59 N of Dutch Mills","Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite","ARK0007"
"ARDEQH2O_WQX-ARK0007","Barren Fork on SR59 N of Dutch Mills","Orthophosphate","ARK0007"
"ARDEQH2O_WQX-ARK0007","Barren Fork on SR59 N of Dutch Mills","Phosphate-phosphorus","ARK0007"
"ARDEQH2O_WQX-ARK0007","Barren Fork on SR59 N of Dutch Mills","Organic carbon","ARK0007"
"ARDEQH2O_WQX-ARK0007","Barren Fork on SR59 N of Dutch Mills","Alkalinity, total","ARK0007"
"ARDEQH2O_WQX-ARK0007","Barren Fork on SR59 N of Dutch Mills","Biochemical oxygen demand, standard conditions","ARK0007"
"ARDEQH2O_WQX-ARK0007","Barren Fork on SR59 N of Dutch Mills","Hardness, Ca, Mg","ARK0007"
"ARDEQH2O_WQX-ARK0007","Barren Fork on SR59 N of Dutch Mills","pH","ARK0007"
"ARDEQH2O_WQX-ARK0007","Barren Fork on SR59 N of Dutch Mills","Temperature, air","ARK0007"
"ARDEQH2O_WQX-ARK0007","Barren Fork on SR59 N of Dutch Mills","Temperature, water","ARK0007"
"ARDEQH2O_WQX-ARK0007","Barren Fork on SR59 N of Dutch Mills","Total dissolved solids","ARK0007"
"ARDEQH2O_WQX-ARK0007","Barren Fork on SR59 N of Dutch Mills","Total suspended solids","ARK0007"
"ARDEQH2O_WQX-ARK0007","Barren Fork on SR59 N of Dutch Mills","Turbidity","ARK0007"
"ARDEQH2O_WQX-ARK0020","Arkansas River at Dam No. 2","Calcium","ARK0020"
"ARDEQH2O_WQX-ARK0020","Arkansas River at Dam No. 2","Magnesium","ARK0020"
"ARDEQH2O_WQX-ARK0020","Arkansas River at Dam No. 2","Potassium","ARK0020"
"ARDEQH2O_WQX-ARK0020","Arkansas River at Dam No. 2","Sodium","ARK0020"
"ARDEQH2O_WQX-ARK0020","Arkansas River at Dam No. 2","Bromide","ARK0020"
"ARDEQH2O_WQX-ARK0020","Arkansas River at Dam No. 2","Chloride","ARK0020"
"ARDEQH2O_WQX-ARK0020","Arkansas River at Dam No. 2","Fluoride","ARK0020"
"ARDEQH2O_WQX-ARK0020","Arkansas River at Dam No. 2","Sulfate","ARK0020"
"ARDEQH2O_WQX-ARK0020","Arkansas River at Dam No. 2","Aluminum","ARK0020"
"ARDEQH2O_WQX-ARK0020","Arkansas River at Dam No. 2","Barium","ARK0020"
"ARDEQH2O_WQX-ARK0020","Arkansas River at Dam No. 2","Beryllium","ARK0020"
"ARDEQH2O_WQX-ARK0020","Arkansas River at Dam No. 2","Cadmium","ARK0020"
"ARDEQH2O_WQX-ARK0020","Arkansas River at Dam No. 2","Chromium","ARK0020"
"ARDEQH2O_WQX-ARK0020","Arkansas River at Dam No. 2","Cobalt","ARK0020"
"ARDEQH2O_WQX-ARK0020","Arkansas River at Dam No. 2","Copper","ARK0020"
"ARDEQH2O_WQX-ARK0020","Arkansas River at Dam No. 2","Iron","ARK0020"
"ARDEQH2O_WQX-ARK0020","Arkansas River at Dam No. 2","Lead","ARK0020"
"ARDEQH2O_WQX-ARK0020","Arkansas River at Dam No. 2","Manganese","ARK0020"
"ARDEQH2O_WQX-ARK0020","Arkansas River at Dam No. 2","Nickel","ARK0020"
"ARDEQH2O_WQX-ARK0020","Arkansas River at Dam No. 2","Vanadium","ARK0020"
"ARDEQH2O_WQX-ARK0020","Arkansas River at Dam No. 2","Zinc","ARK0020"
"ARDEQH2O_WQX-ARK0020","Arkansas River at Dam No. 2","Arsenic","ARK0020"
"ARDEQH2O_WQX-ARK0020","Arkansas River at Dam No. 2","Boron","ARK0020"
"ARDEQH2O_WQX-ARK0020","Arkansas River at Dam No. 2","Selenium","ARK0020"
"ARDEQH2O_WQX-ARK0020","Arkansas River at Dam No. 2","Ammonia-nitrogen","ARK0020"
"ARDEQH2O_WQX-ARK0020","Arkansas River at Dam No. 2","Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite","ARK0020"
