"SiteID_WQX","SiteName_WQX","Parameter","SiteID"
"ARDEQH2O_WQX-OUA0241","South Fork Terre Noire Creek on Hwy 182 ~6 miles NW of Gurdon","Aluminum","OUA0241"
"ARDEQH2O_WQX-OUA0241","South Fork Terre Noire Creek on Hwy 182 ~6 miles NW of Gurdon","Barium","OUA0241"
"ARDEQH2O_WQX-OUA0241","South Fork Terre Noire Creek on Hwy 182 ~6 miles NW of Gurdon","Beryllium","OUA0241"
"ARDEQH2O_WQX-OUA0241","South Fork Terre Noire Creek on Hwy 182 ~6 miles NW of Gurdon","Cadmium","OUA0241"
"ARDEQH2O_WQX-OUA0241","South Fork Terre Noire Creek on Hwy 182 ~6 miles NW of Gurdon","Chromium","OUA0241"
"ARDEQH2O_WQX-OUA0241","South Fork Terre Noire Creek on Hwy 182 ~6 miles NW of Gurdon","Cobalt","OUA0241"
"ARDEQH2O_WQX-OUA0241","South Fork Terre Noire Creek on Hwy 182 ~6 miles NW of Gurdon","Copper","OUA0241"
"ARDEQH2O_WQX-OUA0241","South Fork Terre Noire Creek on Hwy 182 ~6 miles NW of Gurdon","Iron","OUA0241"
"ARDEQH2O_WQX-OUA0241","South Fork Terre Noire Creek on Hwy 182 ~6 miles NW of Gurdon","Lead","OUA0241"
"ARDEQH2O_WQX-OUA0241","South Fork Terre Noire Creek on Hwy 182 ~6 miles NW of Gurdon","Manganese","OUA0241"
"ARDEQH2O_WQX-OUA0241","South Fork Terre Noire Creek on Hwy 182 ~6 miles NW of Gurdon","Nickel","OUA0241"
"ARDEQH2O_WQX-OUA0241","South Fork Terre Noire Creek on Hwy 182 ~6 miles NW of Gurdon","Silver","OUA0241"
"ARDEQH2O_WQX-OUA0241","South Fork Terre Noire Creek on Hwy 182 ~6 miles NW of Gurdon","Thallium","OUA0241"
"ARDEQH2O_WQX-OUA0241","South Fork Terre Noire Creek on Hwy 182 ~6 miles NW of Gurdon","Vanadium","OUA0241"
"ARDEQH2O_WQX-OUA0241","South Fork Terre Noire Creek on Hwy 182 ~6 miles NW of Gurdon","Zinc","OUA0241"
"ARDEQH2O_WQX-OUA0241","South Fork Terre Noire Creek on Hwy 182 ~6 miles NW of Gurdon","Antimony","OUA0241"
"ARDEQH2O_WQX-OUA0241","South Fork Terre Noire Creek on Hwy 182 ~6 miles NW of Gurdon","Arsenic","OUA0241"
